Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId,geometry
178012,CHPD,LARCENY FROM MOTOR VEHICLE,1010 RALEIGH RD,CHAPEL HILL,NC,27514,1577943600000,1577943000000,1577943600000,THEFT/LARCENY,<Null>,<Null>,<Null>,52,B,F,35.907822,-79.024223,73024,POINT (-79.024223 35.907822)
178076,CHPD,ABANDONED VEHICLE,BOLINWOOD DRIVE,CHAPEL HILL,NC,27514,1578116160000,1578116160000,1578116160000,TRAFFIC VIOLATI,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,35.926379,-79.048893,73026,POINT (-79.048893 35.926379)
178327,CHPD,IMPROPERLY PARKED VEHICLE,306 RANSOM ST,CHAPEL HILL,NC,27516,1578834060000,1578833940000,1578834000000,TRAFFIC VIOLATI,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,35.905979,-79.05761,73066,POINT (-79.05761 35.905979)
178031,CHPD,B&E    LARCENY F/VEHICLE,1860 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27514,1577987700000,1577987280000,1577987640000,THEFT/LARCENY,<Null>,<Null>,<Null>,49,B,F,35.966667,-79.0588,73110,POINT (-79.0588 35.966667)
178193,CHPD,TOWED VEHICLE,501 PRITCHARD AVE,CHAPEL HILL,NC,27516,1578490920000,1578490920000,1578490920000,MISC OFFICER IN,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,35.916344,-79.059418,73276,POINT (-79.059418 35.916344)
178359,CHPD,CAR ALARM,125 E LONGVIEW ST,CHAPEL HILL,NC,27516,1578922500000,1578922500000,1578922500000,ALARMS,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,35.920937,-79.057739,73327,POINT (-79.057739 35.920937)
178468,CHPD,TOWED VEHICLE,266 I 40 E,CHAPEL HILL,NC,27516,1579201380000,1579201380000,1579201380000,TRAFFIC VIOLATI,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,35.970558,-79.061188,73329,POINT (-79.061188 35.970558)
178145,CHPD,DEBIT CARD FRAUD,1800 FORDHAM BLVD,CHAPEL HILL,NC,27517,1578341580000,1578329160000,1578341580000,FRAUD OR DECEPT,<Null>,<Null>,<Null>,54,A,F,35.944695,-79.011574,73387,POINT (-79.011574 35.944695)
178007,CHPD,ASSIST CARRBORO,NC 54/NC 54-JONES FERRY EXIT,CARRBORO,NC,27510,1577919780000,1577919780000,1577919780000,TRAFFIC STOP,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,35.903934,-79.083961,73413,POINT (-79.083961 35.903934)
178308,CHPD,CREDIT CARD THEFT,257 S ELLIOTT RD,CHAPEL HILL,NC,27514,1578758760000,1578749460000,1578753660000,THEFT/LARCENY,<Null>,<Null>,<Null>,75,W,M,35.932949,-79.025833,73456,POINT (-79.025833 35.932949)
178120,CHPD,CARJACKING W/FORCE,1513 E FRANKLIN ST,CHAPEL HILL,NC,27514,1578258240000,1578258180000,1578258240000,ROBBERY/CARJACK,<Null>,<Null>,<Null>,<Null>,W,F,35.931852,-79.034413,73513,POINT (-79.034413 35.931852)
