component_id,size,min_datetime,max_datetime,center_x,center_y
0,9,2023-03-04 21:00:00,2023-03-05 22:16:00,1984077.3519015189,804789.284821578
1,7,2020-06-11 10:00:00,2020-06-12 04:49:00,1998624.3782687958,797603.2418034377
2,7,2021-08-13 11:36:00,2021-09-03 12:30:00,1982766.7589655884,789923.3789918729
3,6,2020-12-14 09:00:00,2020-12-17 19:15:00,1982133.7041966878,788230.757082649
4,6,2021-10-02 02:00:00,2021-10-10 15:40:00,1979934.5483211542,781789.0789138161
5,6,2021-10-24 16:00:00,2021-10-25 15:15:00,1991893.9811442457,787690.2551925926
6,6,2023-02-28 15:00:00,2023-03-01 04:48:00,1992567.314303771,787620.0793225487
7,6,2023-05-05 13:00:00,2023-05-06 04:52:00,1981880.566824597,798456.0232147393
8,5,2020-12-05 12:00:00,2020-12-05 19:01:00,1984583.7434408627,798124.1348141934
9,5,2022-05-08 13:25:00,2022-05-22 15:12:00,1980757.729975659,781329.2960552633
10,5,2023-01-28 07:00:00,2023-02-15 19:00:00,1984326.087788656,792314.6820466468
11,5,2023-03-03 19:00:00,2023-03-15 10:00:00,1995449.1810435075,799703.4996522625
12,5,2023-06-04 16:00:00,2023-06-11 13:00:00,1984326.087788656,792314.6820466468
13,5,2024-04-10 10:37:00,2024-04-19 04:44:00,1990264.4353392324,794060.8572388379
14,5,2024-09-03 21:25:00,2024-09-10 00:00:00,1993441.037494614,785028.6286153339
15,5,2024-09-30 07:00:00,2024-10-02 15:01:00,1984228.6498590808,788379.4623119201
16,4,2020-01-23 07:17:00,2020-01-30 04:00:00,1984040.0753548658,791152.8226014496
17,4,2020-05-27 09:00:00,2020-05-27 22:00:00,1994988.427449859,799883.2403936816
18,4,2020-05-24 14:30:00,2020-05-30 06:45:00,1979501.7792770327,772461.0628611429
19,4,2020-08-15 17:00:00,2020-08-17 19:30:00,1981584.874987653,781625.6546150933
20,4,2020-08-31 13:00:00,2020-08-31 17:00:00,1982136.9795675487,782780.85880681
21,4,2020-08-09 03:36:00,2020-08-11 17:00:00,1989525.1057583503,796374.7620158368
22,4,2020-08-01 15:30:00,2020-08-06 17:00:00,1985741.8301009636,789695.9911750576
23,4,2020-08-09 14:30:00,2020-08-09 19:00:00,1988020.8938924372,788865.2098303612
24,4,2021-08-22 15:00:00,2021-08-22 22:20:00,1977728.4955170911,801806.1623507616
25,4,2023-05-02 13:00:00,2023-05-12 18:30:00,1982644.5875076982,789763.04291495
26,4,2023-05-28 08:00:00,2023-05-30 17:34:00,1982746.065039187,787538.1109057381
27,4,2024-07-21 19:00:00,2024-08-01 14:00:00,1982206.2780774802,787800.1819099926
28,4,2024-08-12 21:00:00,2024-08-27 10:00:00,1984006.9524443727,788024.4453888605
29,4,2024-10-05 13:30:00,2024-10-19 16:14:00,1994877.8927870255,797381.0771765137
30,4,2024-10-23 07:00:00,2024-11-03 12:29:00,1995145.6447029896,798163.5126740962
31,4,2024-11-15 00:30:00,2024-11-25 18:00:00,1994855.3316754817,797516.8174573254
32,4,2025-09-19 16:00:00,2025-09-26 16:30:00,1982332.27315475,785995.9818932059
33,4,2025-05-02 18:40:00,2025-05-06 11:00:00,1981202.2972653345,775768.3919412425
34,3,2020-03-01 07:50:00,2020-03-10 06:25:00,1979500.9682836868,772466.4325038871
35,3,2020-02-28 11:00:00,2020-02-28 14:08:00,1996869.6343328524,786323.1727926293
36,3,2020-03-28 23:00:00,2020-03-29 13:00:00,1980120.925243384,780457.1679217712
37,3,2020-05-18 09:01:00,2020-05-22 13:30:00,1981664.8280967725,786595.5438446157
38,3,2020-07-22 12:00:00,2020-07-22 14:00:00,1980511.138576389,782592.9079196075
39,3,2020-08-01 12:00:00,2020-08-01 18:15:00,1987593.346885454,793134.7034083431
40,3,2020-07-26 13:15:00,2020-07-29 17:00:00,1988701.1443248403,789911.0499182242
41,3,2020-08-03 11:00:00,2020-08-03 18:55:00,1986557.7950519605,794995.2660361106
42,3,2020-10-14 12:30:00,2020-10-17 14:30:00,1981203.4152475607,780185.390629061
43,3,2020-12-08 17:30:00,2020-12-11 10:00:00,1983808.8709256062,790342.511137639
44,3,2020-12-10 15:00:00,2020-12-11 17:00:00,1989211.8544146756,783856.0298105084
45,3,2021-04-04 09:00:00,2021-04-06 10:31:00,1996457.1885885943,800734.9753795086
46,3,2021-05-28 06:00:00,2021-05-28 15:15:00,1984516.787171672,789924.8457791392
47,3,2021-05-20 11:30:00,2021-05-24 17:30:00,1983629.7811404832,796631.7776883361
48,3,2021-04-30 12:00:00,2021-05-04 12:00:00,1984326.1943748302,792314.6856299316
49,3,2021-06-01 12:30:00,2021-06-09 19:40:00,1983997.1813996553,792343.9876127625
50,3,2021-06-14 12:50:00,2021-06-14 13:00:00,1992020.356745776,795451.2016492035
51,3,2021-08-22 12:00:00,2021-08-29 13:00:00,1984326.1943748302,792314.6856299316
52,3,2021-09-01 14:00:00,2021-09-01 14:00:00,1980791.233620417,802859.0061084513
53,3,2021-08-18 18:00:00,2021-08-24 15:00:00,1980174.3669997156,782255.4547338048
54,3,2021-08-01 00:30:00,2021-08-10 04:00:00,1984326.1943748302,792314.6856299316
55,3,2021-12-15 11:40:00,2021-12-23 10:45:00,1980548.0640291392,781108.0950845605
56,3,2021-11-19 16:00:00,2021-11-21 12:00:00,1982141.683938982,788373.6848387759
57,3,2022-05-24 19:00:00,2022-05-25 17:00:00,1979161.41292825,777715.7622957054
58,3,2022-03-21 13:30:00,2022-03-27 08:00:00,1980844.8832201406,781177.3014723792
59,3,2022-01-23 10:30:00,2022-01-25 04:30:00,1980844.8832201406,781177.3014723792
60,3,2022-02-11 14:00:00,2022-02-20 16:30:00,1984326.1943748302,792314.6856299316
61,3,2022-07-26 17:00:00,2022-08-01 07:00:00,1982257.3050231943,790079.494872359
62,3,2022-01-17 11:00:00,2022-01-19 11:00:00,1981726.8066135582,788481.9317281944
63,3,2022-02-02 23:30:00,2022-02-11 02:00:00,1989454.70582546,791311.3656893858
64,3,2022-07-22 17:30:00,2022-07-22 22:00:00,1983487.8034412942,796657.8234127038
65,3,2022-02-08 16:00:00,2022-02-15 17:00:00,1983593.1170002033,797241.8864739925
66,3,2022-10-04 07:00:00,2022-10-04 14:00:00,1984194.26185264,789954.3846509157
67,3,2022-11-04 13:00:00,2022-11-05 19:56:00,1978965.1777216066,779313.1675563989
68,3,2022-08-17 11:00:00,2022-08-18 04:08:00,1993134.411680663,797879.258529665
69,3,2022-08-31 16:00:00,2022-09-01 05:33:00,1993775.614277826,796672.6505795941
70,3,2023-03-26 09:00:00,2023-04-02 11:00:00,1984326.0877886557,792314.6820466468
71,3,2023-05-16 17:15:00,2023-05-18 00:05:00,1982909.7156971383,786972.1630422688
72,3,2023-05-20 15:00:00,2023-05-20 23:10:00,1981954.4354014548,804743.1454795129
73,3,2023-07-01 01:00:00,2023-07-05 22:00:00,1982270.3620861026,789484.0426973227
74,3,2023-06-08 07:00:00,2023-06-08 17:30:00,1983942.7946268313,789474.7506697198
75,3,2023-09-13 15:30:00,2023-09-24 13:30:00,1984493.9324968085,787926.1757838303
76,3,2023-09-11 05:00:00,2023-09-17 09:30:00,1995615.9832607585,799662.0936612937
77,3,2023-09-12 12:25:00,2023-09-15 05:00:00,1983312.2430858705,804882.5916103306
